id,text
1583650701544022016,"Verdade, e o Lula não conseguiu falar nada
Absurdo mesmo
🤣🤣🤣🤣 https://t.co/4DundT3nki"
1586060527473553408,"@GabyLabree Perdeu 14 anos de roubos, corrupção, assassinatos, fraude, mentiras… que mais… ah condenação e prisão do luladrao e TODOS, sim, TODOS os seus ministros… o resto vc já sabe…"
1576308403143643137,"@AndrePioMartins @ladyrasta @AnarcoFino Eu também companheiro. Petista tb tem SUV hahaha.Essa é a revolta deles, morar no mesmo condomínio, filhos no mesmo Colégio. Nasci classe média, branca e privilegiada MEU PRESIDENTE É LUIZ INÁCIO LULA DA SILVA #LulaNo1ºTurno"
1580086983850086400,@LulaOficial A esquerda vive de narrativas e mentiras. Faz o L e destrua seu futuro! https://t.co/RvMmBy5r3o
1581053194901532672,"Lula, aí querem $$ pra cultura, qual é a cultura dessas ""pessoas""???? https://t.co/0piIwtpUjn"
1583554258988765186,"@cafecomferri Acho que no nordeste, acredito que o Lula nao  vai perder tantos votos, talvez até ganhe"
1586142963473604608,"@LulaOficial LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO 
LULA NÃO FOI INOCENTADO"
1580048302527361025,"Cachaceiro ladrão é dono do tribunal socialista eleitoral, manda e desmanda, o antigo TSE acabou https://t.co/12U0Kjesr4"
1576336884082802688,ai ela só queria postar uma foto usando vermelho e n tava nem pensando em política kkkk https://t.co/LkjfhYehfv
1583280010672340993,"@jairmearrependi Voto no Lula, se algum eleitor dele comprovar um legado das olimpíadas e copa do mundo!
Lula nunca mais!!"
1582422583529836552,"@veramagalhaes Lula falta ao próximo debate e querem acreditar que o “nine” ou “nove dedos” é quem defenda a democracia ? 

Sei, sei… me engana que eu gosto!

Tô do lado dos sertanejos é 🇧🇷22🇧🇷 pela DEMOCRACIA pelo Brasil 🇧🇷."
1584351851465433088,"@Vascainazzo @MJdaSilva7 @alerrandrocrz @dududamasceno18 Tenho zero apreço pelo Lula, imbecil. Não fala merda! 

E os lucros exorbitantes da Petrobras são todos baseados no dólar que o povo brasileiro paga pelos combustíveis. A gente recebe em real e paga em dólar. Nunca que isso vai estar certo. Mas se você defende isso, tudo bem."
1584939783440113664,"Deixa eu entender? Se o que está no boné do Lula é Complexo e não Cupinxa? Por que os Cupinxas estão proibindo a foto dele com o Complexo? Entendeu? Eu também não!! 

TSE determina remoção de posts com boné CPX de Lula https://t.co/bvlK0CLQNO"
1582880924416770048,"@LeiaRachor Artistas,Jornalistas,Imprensa,
Empresários e Banqueiros Envolvidos no Mensalão, Petrolao,Estão Comemorando a Censura,a Perseguição,aos Blogs,Mídias,Jornalistas,Jovem Pan, Brasil Paralelo,Não Esqueçam q,o Chicote d Ditadura nas Mãos d Lula Fascista,PT,STF,TSE,Vai Atingir a Todos."
1577698109244772353,"@monark Se Lula ganhar, as únicas coisas que vão crescer é desarmamento (exceto dos bandidos), regulação da mídia, mudança na lei de ficha limpa, desemprego e o que vai crescer é inflação. Uma pena muita gente estar vendo isso e insistindo em votar no nine."
1586425714781442048,@AndreJanonesAdv Você engana seus próprios eleitores … sinceramente acredito que mesmo votando no lula eles não aguenta mais servirem de palhaços pra você .
1578800219327959040,"@Shi10_ @beruta @bicmuller @LulaOficial @crisvector Se aproximando? Oi? Kkkk 
O país está crescendo, mesmo após uma pandemia e guerra… os fatos estão aí.. 
Se o lula ganhar, ele não vai se aproximar, ele vai se transformar em uma Venezuela.. 
tantos anos de PT e em 4 anos vcs querem um mágico, pra reparar os estragos?"
1582356442736037890,"Bolsonaro é corrupto! Eu sei, e o deputado bolsonarista finge que não, mas sabe. O povo brasileiro sabe e não aguenta mais! É Lula presidente e Bolsonaro na cadeia. https://t.co/vOPJVzHI3q"
1585460601899425792,"@AntonioP_Juniio @eliasjabbour Sabendo agora mesmo.

Até porque eu não acompanho o futebol do sudeste, nem esse jogador.

Mas me diga:

Se algum famoso que você não acompanha fizesse o L ou ""Arminha"" na mão, você iria fazer uma pesquisa biográfica pra saber o nome do filho? Ou deduziria um apoio eleitoral?

🤷"
1576907420462219264,"Reconhecemos que a luta será árdua, mas estamos firmes e fortes.Parar com compartilhamentos das coisas negativas e nomes dos minions é essencial, pois mídia/votos vão pra eles.Focar só na campanha do Lula e de quem ficou pro segundo turno agora. BORA ACREDITAR! #VamosÉLula13❤️👈🏼 https://t.co/ctBrJdzZPO"
1582026231117099008,"@Fcbcrf_ @imatheuscosta Burro e homofóbico, do jeitinho que o presidente reproduz, calma gado, tenho uma sugestão pra vc quando o Lula for eleito presidente, inclusive é um ótimo país para vocês cidadãos do bem morar https://t.co/2Z8n5NztSW"
1583649213488934913,"@sacha_faria Sacha, é  meio fora de contexto mas fiquei triste com a queda do Náutico. 
Considero o mais simpático de Pernambuco. 
Com certeza voltará!!
Em frente e com L13 !"
